,Date,Open Price,High Price,Low Price,Close Price,Volume,MA60,MA20,MA10,MA5,kc_middle,kc_upper,kc_lower
16,20221101 16:00:00,20444.0,20517.77,20372.85,20409.01,16378.22204,,,20514.469,20444.52,20512.100905228366,20745.84916790453,20278.352642552203
17,20221101 17:00:00,20409.01,20455.75,20400.0,20439.83,9786.75719,,,20498.500999999997,20424.262000000002,20506.212807203687,20725.577319905653,20286.84829450172
18,20221101 18:00:00,20439.83,20475.56,20407.7,20462.68,9245.46764,,,20486.306000000004,20432.394,20502.782214266528,20712.47588887304,20293.088539660017
19,20221101 19:00:00,20463.55,20501.48,20431.57,20451.45,9708.88729,,20509.098,20471.711,20441.394,20498.859328857983,20700.598561569062,20297.120096146904
20,20221101 20:00:00,20449.29,20493.72,20434.71,20483.34,6601.44783,,20510.4365,20458.269,20449.262,20497.706521966462,20690.04523617452,20305.367807758405
21,20221101 21:00:00,20482.14,20495.29,20429.35,20454.78,3352.68267,,20507.4425,20451.468,20458.416,20494.600665105176,20680.233092256956,20308.968237953395
22,20221101 22:00:00,20455.92,20486.0,20431.65,20478.5,7541.09471,,20502.417500000003,20445.206,20466.15,20493.463853541652,20670.65488203909,20316.272825044216
23,20221101 23:00:00,20477.53,20503.51,20455.08,20483.62,5995.95218,,20502.47,20451.365999999998,20470.338,20492.784431700664,20661.24604276998,20324.322820631347
24,20221102 00:00:00,20482.81,20540.7,20407.66,20518.48,13224.31791,,20503.6175,20462.569,20483.744,20494.520778093556,20673.499229938945,20315.542326248167
25,20221102 01:00:00,20517.46,20536.38,20500.03,20504.94,6173.60183,,20502.344,20468.663,20488.064,20495.211069611512,20662.827571373244,20327.59456784978
26,20221102 02:00:00,20504.24,20531.37,20457.62,20513.38,8399.40833,,20496.7845,20479.1,20499.784,20496.392774419146,20661.87342693264,20330.91212190565
27,20221102 03:00:00,20514.02,20558.35,20498.89,20520.34,7938.80272,,20492.826,20487.151,20508.152,20497.92363001676,20658.49108631808,20337.35617371544
28,20221102 04:00:00,20520.34,20555.92,20507.42,20520.28,8292.29384,,20489.6085,20492.911,20515.484,20499.32985665098,20653.226356697218,20345.433356604743
29,20221102 05:00:00,20521.16,20563.36,20477.02,20487.39,10158.96586,,20484.108,20496.504999999997,20509.266,20498.590137784508,20654.44813809425,20342.732137474766
30,20221102 06:00:00,20487.39,20493.37,20460.09,20476.59,6500.31771,,20477.0495,20495.83,20503.595999999998,20497.246408751613,20643.820405325776,20350.67241217745
31,20221102 07:00:00,20476.96,20487.84,20356.75,20421.64,15255.75064,,20471.992,20492.516,20485.248,20492.689832351047,20651.235498550745,20334.14416615135
32,20221102 08:00:00,20421.64,20506.09,20408.14,20505.37,9289.68199,,20470.2045,20495.203,20482.253999999997,20493.44448399966,20655.844701369268,20331.044266630055
33,20221102 09:00:00,20504.59,20539.9,20420.02,20467.76,11967.57353,,20472.4915,20493.617,20471.75,20491.933858523123,20662.291369069324,20321.576347976923
34,20221102 10:00:00,20468.06,20472.82,20339.99,20409.77,13846.64268,,20472.6575,20482.746,20456.226000000002,20487.154918415807,20667.287359622318,20307.022477209295
35,20221102 11:00:00,20409.77,20466.24,20407.85,20431.33,8323.13939,,20472.023999999998,20475.385000000002,20447.174,20483.941824474612,20657.59300922549,20310.290639723735
